HIP,RAICRS,DEICRS,Vmag,Plx,pmRA,pmDE,BV
3607,11.54845521,-22.52206718,5.49,9.78,197.14,-12.25,0.978
3632,11.63740001,15.47561194,5.36,5.55,-29.45,-44.22,1.559
3675,11.75594336,11.97393464,5.51,12.45,53.83,-35.12,0.987
3693,11.83495908,24.26737703,4.08,17.98,-101.23,-81.89,1.100
3697,11.84843074,6.74098135,5.98,7.16,14.42,-10.26,0.941
3717,11.93000731,-18.06142264,5.70,8.11,30.18,34.40,1.300
3721,11.94174879,74.84758739,5.42,4.06,15.03,-5.94,-0.066
3741,12.00437854,-21.72247464,5.57,6.72,24.99,-7.23,-0.058
3750,12.03698124,72.67445774,5.86,14.65,133.71,9.87,1.010
3760,12.07226858,7.29991977,5.92,4.93,111.61,3.41,1.104
3765,12.09388786,5.28338873,5.74,134.04,758.04,-1141.22,0.890
3781,12.14632729,-74.92335356,5.09,15.94,133.21,-34.59,1.345
3786,12.17039736,7.58520186,4.44,10.69,83.14,-50.48,1.500
3801,12.20830552,50.96819154,4.90,8.37,30.28,-9.82,-0.091
3810,12.24462380,16.94113370,5.07,41.80,-2.33,-201.57,0.502
3821,12.27125262,57.81654770,3.46,167.99,1087.11,-559.65,0.587
3834,12.30791020,-24.13652681,5.90,17.70,77.47,-59.62,0.944
3849,12.35647376,-13.56101709,5.59,10.02,103.34,-105.83,1.325
3881,12.45345723,41.07895474,4.53,4.80,22.68,-18.05,-0.136
3885,12.47128657,27.71031105,5.55,9.40,86.54,-10.20,0.398
3909,12.53218487,-10.64377045,5.17,64.69,-224.67,-228.44,0.514
3949,12.67136689,-50.98692422,5.24,13.06,62.99,44.67,0.356
3951,12.68155194,64.24758084,5.35,4.01,29.39,-12.85,0.528
4104,13.16917061,-24.00592567,5.47,6.52,37.32,33.58,1.275
4147,13.25204382,-1.14422060,4.78,6.28,6.49,-16.29,1.550
4151,13.26783051,61.12355735,4.80,53.85,-68.45,169.72,0.540
4200,13.40741156,-62.87135327,5.73,5.32,74.42,0.65,1.574
4267,13.64674999,19.18843611,5.80,8.88,11.05,-7.69,-0.016
4283,13.71984836,83.70746159,5.59,13.30,62.00,-10.71,0.105
4288,13.74174956,23.62844595,5.46,25.69,137.06,-45.58,1.012
4292,13.75080422,58.97279657,4.83,8.02,-32.24,-40.69,1.216
4293,13.75124739,-69.52697888,5.45,15.52,7.92,-43.35,1.095
4346,13.92668443,-7.34703997,5.88,6.54,-6.99,-44.82,1.520
4371,14.00627513,-11.26650685,5.35,6.24,-26.79,-8.01,1.505
4422,14.16671042,59.18116582,4.62,15.84,-92.56,-45.33,0.957
4427,14.17708808,60.71674966,2.15,5.32,25.65,-3.82,-0.046
4436,14.18790699,38.49925513,3.86,23.93,152.78,36.82,0.130
4440,14.19558745,60.36284769,5.56,5.31,27.37,-4.77,-0.054
4463,14.30178237,23.41775997,4.40,13.44,-43.72,-46.06,0.940
4510,14.45895150,28.99223560,5.44,4.63,5.28,-7.77,1.076
4552,14.55914315,33.95105921,5.99,17.19,35.25,-71.86,1.000
4572,14.62916229,66.35182541,5.97,8.67,43.44,-13.19,-0.008
4577,14.65144118,-29.35746436,4.30,4.85,22.44,6.30,-0.154
4587,14.68286462,-11.37993895,5.62,10.35,-33.16,-15.02,0.949
4675,15.01477994,44.71330426,5.69,7.76,14.72,-25.24,-0.010
4770,15.32593934,-38.91664868,5.59,5.19,66.98,49.92,1.185
4852,15.60990729,-31.55204219,5.50,14.39,81.00,15.25,0.083
4889,15.70452742,31.80433674,5.50,7.87,15.53,-30.38,-0.043
4890,15.70496560,-46.39733801,5.39,13.86,-2.21,10.96,0.900
4903,15.72614941,41.34519861,5.95,9.49,-16.96,-16.95,0.161
4906,15.73606615,7.89007256,4.27,17.14,-80.57,25.88,0.952
4914,15.76085267,-4.83635047,5.40,7.95,-117.05,-102.91,1.106
4962,15.90419820,61.07482982,5.92,2.16,-1.54,-2.96,0.512
4998,16.00995036,52.50230919,5.99,3.29,1.44,-61.03,1.447
5021,16.08145357,61.58024409,5.83,12.47,-79.86,-24.77,0.569
5081,16.27229777,14.94600386,5.64,18.28,6.94,53.33,0.420
5131,16.42053152,21.47321620,5.33,13.67,44.30,-14.32,0.003
5132,16.42365838,21.46547318,5.55,14.67,53.93,-12.63,-0.048
5165,16.52127713,-46.71849042,3.32,16.46,-70.16,31.60,0.885
5164,16.52137513,-9.83936845,5.58,5.48,30.98,5.89,0.009
