ra,dec,z
206.10487,-1.29940,0.02570
189.53027,1.24616,0.02575
166.90524,0.71113,0.02576
169.01516,-0.53339,0.02576
212.55950,-0.57854,0.02577
216.87356,1.05586,0.02577
211.64338,-1.18708,0.02583
214.53660,1.22222,0.02589
218.12684,0.27467,0.02594
212.84806,-0.30052,0.02596
162.15165,-0.23600,0.02601
212.72072,1.36951,0.02604
214.59012,0.94962,0.02610
216.72115,0.96290,0.02617
217.56241,0.62139,0.02623
171.44804,-0.71235,0.02630
160.73255,-0.92814,0.02637
221.10413,0.78285,0.02654
208.64030,-0.77639,0.02676
222.72888,-0.36900,0.02677
146.52027,0.87187,0.02681
174.92475,0.32275,0.02687
185.95558,1.37512,0.02695
222.71808,1.16565,0.02711
136.23527,1.16305,0.02714
248.55046,0.10604,0.02716
146.93180,1.03517,0.02719
139.64139,1.34377,0.02721
147.19636,1.05322,0.02727
245.38187,-0.07236,0.02729
137.82661,-0.79914,0.02733
149.14911,1.42856,0.02747
222.04016,-0.69330,0.02753
175.34083,-0.45678,0.02768
159.05953,-0.15903,0.02771
168.60381,-0.83079,0.02779
175.98673,0.52224,0.02792
175.30473,-0.20120,0.02792
158.95613,-0.23901,0.02795
227.50830,1.36122,0.02803
173.55727,0.30947,0.02806
134.44717,-0.19997,0.02821
133.53548,0.49857,0.02821
158.13885,0.93487,0.02824
230.75661,-1.34719,0.02824
176.24823,0.33721,0.02825
227.43251,1.38994,0.02827
227.41853,1.38622,0.02831
133.47349,0.30422,0.02832
132.11065,1.06612,0.02834
168.86800,0.11797,0.02836
217.00814,1.25162,0.02836
232.30925,-1.15905,0.02836
230.76985,-0.51657,0.02837
157.74521,0.49885,0.02841
220.94328,0.20735,0.02841
134.61916,0.02347,0.02846
157.83991,0.23112,0.02850
230.88230,0.01675,0.02852
168.41619,0.82099,0.02855
175.99750,0.42915,0.02859
221.95490,1.05153,0.02862
163.37610,-1.27641,0.02863
243.62440,1.16761,0.02863
175.02589,-0.90141,0.02869
157.99877,0.22867,0.02876
139.97987,-0.59135,0.02878
230.89160,-0.39592,0.02883
242.97181,-0.25707,0.02885
157.85512,0.43876,0.02886
228.57707,0.29827,0.02889
169.03888,0.57353,0.02892
221.07872,0.04190,0.02893
238.37158,0.60522,0.02901
157.84474,-1.04429,0.02901
226.88238,1.13322,0.02903
222.53064,0.65813,0.02913
158.34029,1.43003,0.02913
173.30740,0.67405,0.02922
159.23906,0.22973,0.02922
228.68322,1.15429,0.02928
158.89364,-0.35451,0.02937
210.67898,-1.19821,0.02938
216.98075,-1.00817,0.02946
211.69443,-1.47829,0.02954
218.83220,0.47574,0.02957
209.42914,-0.76258,0.02961
209.52880,-0.38996,0.02967
172.81940,0.22314,0.02967
148.58493,-0.31147,0.02969
217.38568,1.11724,0.02969
168.49817,-0.76498,0.02971
217.50239,1.04610,0.02972
209.20129,0.62283,0.02977
218.54694,0.61575,0.02992
237.05012,-1.12423,0.02994
207.82367,0.38494,0.02995
233.10371,0.68799,0.02996
171.28687,0.99557,0.03002
217.87849,1.11754,0.03008
209.15398,-0.42216,0.03012
216.83979,-0.79503,0.03013
236.17317,-0.25360,0.03015
185.62719,-0.68273,0.03027
144.95767,-0.56153,0.03029
218.63083,1.18789,0.03033
170.70658,1.21486,0.03037
208.84355,0.22202,0.03044
145.92821,0.53113,0.03048
217.38249,0.73711,0.03051
219.32329,1.20372,0.03051
218.65632,0.66303,0.03053
184.93788,-0.76171,0.03055
209.24238,-1.10170,0.03057
207.39340,-0.22246,0.03058
237.25505,0.51240,0.03064
216.67460,-1.14930,0.03065
244.18151,0.24646,0.03065
146.29988,-0.12001,0.03070
243.70888,-0.91565,0.03077
166.93101,1.36592,0.03079
219.44758,0.94494,0.03083
196.47096,-0.45770,0.03101
216.24269,-0.60796,0.03103
218.14442,0.45552,0.03106
166.57378,-0.76172,0.03107
158.06932,-0.46453,0.03112
188.27518,0.77834,0.03121
241.24640,-0.50982,0.03125
242.46648,0.84913,0.03131
239.28419,-0.86756,0.03134
158.46399,-0.56135,0.03134
188.26716,0.31954,0.03141
151.85576,0.62764,0.03142
187.86402,-0.33699,0.03147
158.43529,-0.30072,0.03164
156.80853,0.81874,0.03168
241.94204,0.90754,0.03172
237.23195,0.09448,0.03188
242.22591,0.01095,0.03190
148.87996,-0.46726,0.03221
151.44636,-1.18057,0.03226
150.93109,0.70469,0.03229
149.95120,1.09513,0.03231
237.49807,0.20195,0.03234
208.26076,-0.23844,0.03235
239.81112,0.45448,0.03242
245.42335,1.04832,0.03243
235.64297,-1.32613,0.03246
239.11886,0.74858,0.03247
185.18526,1.36568,0.03248
211.28889,-0.29432,0.03248
151.53761,1.46497,0.03250
249.79757,0.90281,0.03250
158.31342,0.00084,0.03251
226.69003,1.00277,0.03264
172.52765,-1.27820,0.03275
151.16135,0.42023,0.03276
240.33776,0.45628,0.03277
209.75630,0.24123,0.03277
211.03128,1.29499,0.03278
241.49926,-0.47054,0.03283
209.84218,0.20660,0.03285
236.88159,0.34449,0.03288
226.57287,0.25418,0.03290
149.29310,-1.09091,0.03290
210.41509,1.16452,0.03295
220.69050,1.29319,0.03296
242.91368,0.87654,0.03299
236.29678,0.23763,0.03300
190.69828,1.37816,0.03305
158.02211,-0.71000,0.03308
226.74009,0.06764,0.03316
209.67985,0.31956,0.03320
220.59838,0.90798,0.03322
153.31006,-0.77817,0.03323
224.72674,1.08597,0.03341
153.69121,-0.33934,0.03341
237.39911,0.42689,0.03342
218.26598,-1.40220,0.03346
185.50339,0.31503,0.03350
151.72780,-1.23313,0.03350
235.55894,-1.22903,0.03350
153.63083,-0.25946,0.03351
237.79943,0.29734,0.03354
155.02005,1.26704,0.03356
237.17914,-0.07020,0.03365
219.67913,-0.00774,0.03369
165.59373,-0.81434,0.03373
154.42481,-0.58422,0.03374
154.47414,-0.61481,0.03375
154.57295,-0.72537,0.03382
228.06330,-1.08078,0.03388
199.49269,-0.31416,0.03388
156.76579,-0.58638,0.03399
154.27904,-0.17564,0.03401
158.24230,-0.23286,0.03405
229.36383,0.11941,0.03424
156.43787,1.43700,0.03428
221.02719,-0.00585,0.03429
220.03722,0.90754,0.03433
150.64775,-0.06761,0.03438
150.29948,0.32932,0.03449
227.25439,-0.16587,0.03452
148.55901,0.64236,0.03454
237.26194,0.25981,0.03458
200.46629,0.13937,0.03466
182.57450,-0.51788,0.03487
223.71556,0.08868,0.03487
182.00630,0.46970,0.03497
183.21095,-0.83700,0.03498
157.44400,0.14558,0.03501
149.55064,0.23723,0.03502
156.14977,-0.86297,0.03506
182.89696,-0.69956,0.03511
146.01687,0.71681,0.03517
224.10634,0.86354,0.03533
180.37723,-1.43613,0.03538
149.06118,0.10305,0.03541
180.25114,-1.38948,0.03542
240.92244,0.83679,0.03544
148.92474,0.22253,0.03546
200.18153,-1.45397,0.03562
179.96186,-1.38120,0.03579
233.52856,1.00022,0.03588
145.39106,-0.41560,0.03588
218.47828,-0.41119,0.03588
146.08981,0.65983,0.03610
147.39152,-0.24981,0.03620
202.04986,0.09853,0.03628
214.56875,-0.37872,0.03638
160.44369,-0.60057,0.03642
225.90666,-0.39224,0.03653
228.05274,0.22945,0.03663
147.46024,-0.30103,0.03670
146.05733,-0.09703,0.03673
146.89650,0.54743,0.03680
144.20351,-0.38795,0.03681
233.17511,1.03589,0.03682
232.92499,-1.39345,0.03684
220.44869,1.12960,0.03686
217.27625,0.96419,0.03689
219.56877,-0.34974,0.03690
